Type,Function,Mode,Series,X,Time_ns
u32,amartin,bylength,,1,0.868122
u32,branchlut,bylength,,1,1.085262
u32,branchlut2,bylength,,1,0.651211
u32,countlut,bylength,,1,1.085639
u32,fmt,bylength,,1,0.868271
u32,jeaiii,bylength,,1,0.651121
u32,naive,bylength,,1,1.095136
u32,null,bylength,,1,0.651121
u32,tmueller,bylength,,1,0.868142
u32,unrolledlut,bylength,,1,0.868181
u32,yy,bylength,,1,0.651121
u32,zmij_neon,bylength,,1,0.868191
u32,zmij_scalar,bylength,,1,1.668294
u32,amartin,bylength,,2,0.868122
u32,branchlut,bylength,,2,1.087318
u32,branchlut2,bylength,,2,1.085142
u32,countlut,bylength,,2,1.085569
u32,fmt,bylength,,2,0.868112
u32,jeaiii,bylength,,2,0.868122
u32,naive,bylength,,2,1.533012
u32,null,bylength,,2,0.651081
u32,tmueller,bylength,,2,1.090666
u32,unrolledlut,bylength,,2,0.868161
u32,yy,bylength,,2,0.651151
u32,zmij_neon,bylength,,2,0.882715
u32,zmij_scalar,bylength,,2,1.657804
u32,amartin,bylength,,3,1.302848
u32,branchlut,bylength,,3,1.086424
u32,branchlut2,bylength,,3,1.085848
u32,countlut,bylength,,3,1.139392
u32,fmt,bylength,,3,1.085828
u32,jeaiii,bylength,,3,1.085808
u32,naive,bylength,,3,1.966069
u32,null,bylength,,3,0.651091
u32,tmueller,bylength,,3,1.087229
u32,unrolledlut,bylength,,3,1.088560
u32,yy,bylength,,3,1.085828
u32,zmij_neon,bylength,,3,0.873973
u32,zmij_scalar,bylength,,3,1.596471
u32,amartin,bylength,,4,1.302858
u32,branchlut,bylength,,4,1.085142
u32,branchlut2,bylength,,4,1.302183
u32,countlut,bylength,,4,1.238962
u32,fmt,bylength,,4,1.085858
u32,jeaiii,bylength,,4,1.302818
u32,naive,bylength,,4,2.460897
u32,null,bylength,,4,0.651082
u32,tmueller,bylength,,4,1.085877
u32,unrolledlut,bylength,,4,1.302858
u32,yy,bylength,,4,1.085818
u32,zmij_neon,bylength,,4,0.875215
u32,zmij_scalar,bylength,,4,1.645853
u32,amartin,bylength,,5,1.736899
u32,branchlut,bylength,,5,1.956691
u32,branchlut2,bylength,,5,1.302868
u32,countlut,bylength,,5,1.541048
u32,fmt,bylength,,5,1.523832
u32,jeaiii,bylength,,5,1.302660
u32,naive,bylength,,5,2.947450
u32,null,bylength,,5,0.651787
u32,tmueller,bylength,,5,1.085857
u32,unrolledlut,bylength,,5,1.522521
u32,yy,bylength,,5,1.303991
u32,zmij_neon,bylength,,5,0.869066
u32,zmij_scalar,bylength,,5,1.603832
u32,amartin,bylength,,6,1.737475
u32,branchlut,bylength,,6,1.819313
u32,branchlut2,bylength,,6,1.519849
u32,countlut,bylength,,6,1.755695
u32,fmt,bylength,,6,1.372665
u32,jeaiii,bylength,,6,1.302838
u32,naive,bylength,,6,3.429016
u32,null,bylength,,6,0.651091
u32,tmueller,bylength,,6,1.316647
u32,unrolledlut,bylength,,6,1.489590
u32,yy,bylength,,6,1.303405
u32,zmij_neon,bylength,,6,0.871330
u32,zmij_scalar,bylength,,6,1.606345
u32,amartin,bylength,,7,1.953910
u32,branchlut,bylength,,7,1.797289
u32,branchlut2,bylength,,7,1.736899
u32,countlut,bylength,,7,1.899818
u32,fmt,bylength,,7,1.965205
u32,jeaiii,bylength,,7,1.519859
u32,naive,bylength,,7,3.899276
u32,null,bylength,,7,0.651797
