Type,Function,Mode,Series,X,Time_ns
u32,amartin,bylength,,1,0.761192
u32,branchlut,bylength,,1,1.155822
u32,branchlut2,bylength,,1,0.757184
u32,countlut,bylength,,1,0.965312
u32,fmt,bylength,,1,0.938418
u32,jeaiii,bylength,,1,0.768623
u32,naive,bylength,,1,1.285832
u32,null,bylength,,1,0.832692
u32,sse2,bylength,,1,1.158440
u32,tmueller,bylength,,1,0.753008
u32,unrolledlut,bylength,,1,1.102407
u32,yy,bylength,,1,0.981207
u32,zmij_scalar,bylength,,1,2.227902
u32,zmij_x64_native,bylength,,1,1.308885
u32,zmij_x64_v1,bylength,,1,1.900991
u32,zmij_x64_v2,bylength,,1,1.349818
u32,zmij_x64_v3,bylength,,1,1.276520
u32,zmij_x64_v3_nokernel,bylength,,1,1.897064
u32,zmij_x64_v4,bylength,,1,1.290212
u32,amartin,bylength,,2,0.790936
u32,branchlut,bylength,,2,1.156974
u32,branchlut2,bylength,,2,0.789548
u32,countlut,bylength,,2,1.083189
u32,fmt,bylength,,2,0.995959
u32,jeaiii,bylength,,2,0.739335
u32,naive,bylength,,2,2.015980
u32,null,bylength,,2,0.737200
u32,sse2,bylength,,2,1.156706
u32,tmueller,bylength,,2,1.346294
u32,unrolledlut,bylength,,2,0.945854
u32,yy,bylength,,2,0.915523
u32,zmij_scalar,bylength,,2,2.244243
u32,zmij_x64_native,bylength,,2,1.299273
u32,zmij_x64_v1,bylength,,2,1.905931
u32,zmij_x64_v2,bylength,,2,1.352748
u32,zmij_x64_v3,bylength,,2,1.275095
u32,zmij_x64_v3_nokernel,bylength,,2,1.282760
u32,zmij_x64_v4,bylength,,2,1.293396
u32,amartin,bylength,,3,0.924817
u32,branchlut,bylength,,3,1.231780
u32,branchlut2,bylength,,3,1.156204
u32,countlut,bylength,,3,1.279514
u32,fmt,bylength,,3,1.247144
u32,jeaiii,bylength,,3,0.921645
u32,naive,bylength,,3,2.675937
u32,null,bylength,,3,0.774217
u32,sse2,bylength,,3,1.203037
u32,tmueller,bylength,,3,1.343891
u32,unrolledlut,bylength,,3,1.328446
u32,yy,bylength,,3,1.096404
u32,zmij_scalar,bylength,,3,2.240982
u32,zmij_x64_native,bylength,,3,1.293354
u32,zmij_x64_v1,bylength,,3,1.907739
u32,zmij_x64_v2,bylength,,3,1.358959
u32,zmij_x64_v3,bylength,,3,1.293003
u32,zmij_x64_v3_nokernel,bylength,,3,1.282597
u32,zmij_x64_v4,bylength,,3,1.310442
u32,amartin,bylength,,4,0.918520
