Type,Function,Mode,Series,X,Time_ns
u32,amartin,bylength,,1,0.746992
u32,branchlut,bylength,,1,1.058226
u32,branchlut2,bylength,,1,0.881036
u32,countlut,bylength,,1,0.996936
u32,fmt,bylength,,1,0.938216
u32,jeaiii,bylength,,1,0.792441
u32,naive,bylength,,1,1.346709
u32,null,bylength,,1,1.066126
u32,sse2,bylength,,1,1.129699
u32,tmueller,bylength,,1,0.909086
u32,unrolledlut,bylength,,1,1.284225
u32,yy,bylength,,1,0.973003
u32,zmij_scalar,bylength,,1,2.186490
u32,zmij_x64_native,bylength,,1,1.195564
u32,zmij_x64_v1,bylength,,1,1.827574
u32,zmij_x64_v2,bylength,,1,1.299340
u32,zmij_x64_v3,bylength,,1,1.264592
u32,zmij_x64_v4,bylength,,1,1.216478
u32,amartin,bylength,,2,0.929751
u32,branchlut,bylength,,2,1.287283
u32,branchlut2,bylength,,2,0.960315
u32,countlut,bylength,,2,1.058455
u32,fmt,bylength,,2,1.092878
u32,jeaiii,bylength,,2,1.056735
u32,naive,bylength,,2,1.988101
u32,null,bylength,,2,0.950465
u32,sse2,bylength,,2,1.301276
u32,tmueller,bylength,,2,1.376680
u32,unrolledlut,bylength,,2,1.196568
u32,yy,bylength,,2,0.995531
u32,zmij_scalar,bylength,,2,2.219137
u32,zmij_x64_native,bylength,,2,1.259958
u32,zmij_x64_v1,bylength,,2,1.825854
u32,zmij_x64_v2,bylength,,2,1.303028
u32,zmij_x64_v3,bylength,,2,1.182762
u32,zmij_x64_v4,bylength,,2,1.220166
u32,amartin,bylength,,3,0.956771
u32,branchlut,bylength,,3,1.253777
u32,branchlut2,bylength,,3,1.171374
u32,countlut,bylength,,3,1.303258
u32,fmt,bylength,,3,1.253816
u32,jeaiii,bylength,,3,1.030127
u32,naive,bylength,,3,2.805182
u32,null,bylength,,3,1.057719
u32,sse2,bylength,,3,1.260493
u32,tmueller,bylength,,3,1.375113
u32,unrolledlut,bylength,,3,1.179341
u32,yy,bylength,,3,1.043119
u32,zmij_scalar,bylength,,3,2.206038
u32,zmij_x64_native,bylength,,3,1.218714
u32,zmij_x64_v1,bylength,,3,1.830688
u32,zmij_x64_v2,bylength,,3,1.298729
u32,zmij_x64_v3,bylength,,3,1.219239
u32,zmij_x64_v4,bylength,,3,1.230465
u32,amartin,bylength,,4,0.947627
u32,branchlut,bylength,,4,1.320856
u32,branchlut2,bylength,,4,1.238977
u32,countlut,bylength,,4,1.389664
u32,fmt,bylength,,4,1.295300
u32,jeaiii,bylength,,4,0.999544
u32,naive,bylength,,4,3.583741
u32,null,bylength,,4,1.099928
u32,sse2,bylength,,4,1.311293
u32,tmueller,bylength,,4,0.991413
u32,unrolledlut,bylength,,4,1.206388
u32,yy,bylength,,4,0.986741
u32,zmij_scalar,bylength,,4,2.216146
u32,zmij_x64_native,bylength,,4,1.254857
u32,zmij_x64_v1,bylength,,4,1.808313
u32,zmij_x64_v2,bylength,,4,1.302828
u32,zmij_x64_v3,bylength,,4,1.228918
u32,zmij_x64_v4,bylength,,4,1.193253
u32,amartin,bylength,,5,1.377301
u32,branchlut,bylength,,5,1.867978
u32,branchlut2,bylength,,5,1.321496
u32,countlut,bylength,,5,1.723244
u32,fmt,bylength,,5,1.812660
u32,jeaiii,bylength,,5,1.035439
u32,naive,bylength,,5,4.280680
u32,null,bylength,,5,0.874710
u32,sse2,bylength,,5,1.831252
u32,tmueller,bylength,,5,0.929465
u32,unrolledlut,bylength,,5,1.658257
u32,yy,bylength,,5,1.339210
u32,zmij_scalar,bylength,,5,2.209936
u32,zmij_x64_native,bylength,,5,1.238128
u32,zmij_x64_v1,bylength,,5,1.797154
u32,zmij_x64_v2,bylength,,5,1.313117
u32,zmij_x64_v3,bylength,,5,1.184463
u32,zmij_x64_v4,bylength,,5,1.233600
u32,amartin,bylength,,6,1.368091
u32,branchlut,bylength,,6,2.057405
u32,branchlut2,bylength,,6,1.372849
u32,countlut,bylength,,6,1.803564
u32,fmt,bylength,,6,1.784429
u32,jeaiii,bylength,,6,1.280280
u32,naive,bylength,,6,5.118540
u32,null,bylength,,6,0.729690
u32,sse2,bylength,,6,2.015540
u32,tmueller,bylength,,6,1.425654
u32,unrolledlut,bylength,,6,1.493995
u32,yy,bylength,,6,1.312496
u32,zmij_scalar,bylength,,6,2.201825
u32,zmij_x64_native,bylength,,6,1.213535
u32,zmij_x64_v1,bylength,,6,1.795625
u32,zmij_x64_v2,bylength,,6,1.285248
u32,zmij_x64_v3,bylength,,6,1.199042
u32,zmij_x64_v4,bylength,,6,1.195221
