Type,Function,Mode,Series,X,Time_ns
u32,amartin,bylength,,1,0.774377
u32,branchlut,bylength,,1,0.848225
u32,branchlut2,bylength,,1,1.059815
u32,countlut,bylength,,1,0.975638
u32,fmt,bylength,,1,1.166199
u32,jeaiii,bylength,,1,0.817602
u32,naive,bylength,,1,2.227438
u32,null,bylength,,1,0.801016
u32,sse2,bylength,,1,0.884036
u32,tmueller,bylength,,1,0.766159
u32,unrolledlut,bylength,,1,0.966906
u32,yy,bylength,,1,0.959137
u32,amartin,bylength,,2,0.812911
u32,branchlut,bylength,,2,1.165998
u32,branchlut2,bylength,,2,1.075171
u32,countlut,bylength,,2,1.164459
u32,fmt,bylength,,2,1.182222
u32,jeaiii,bylength,,2,0.838212
u32,naive,bylength,,2,2.591800
u32,null,bylength,,2,0.819866
u32,sse2,bylength,,2,1.038547
u32,tmueller,bylength,,2,1.353396
u32,unrolledlut,bylength,,2,1.186952
u32,yy,bylength,,2,0.998465
u32,amartin,bylength,,3,0.953241
u32,branchlut,bylength,,3,1.164546
u32,branchlut2,bylength,,3,1.001140
u32,countlut,bylength,,3,1.498208
u32,fmt,bylength,,3,1.689848
u32,jeaiii,bylength,,3,0.975581
u32,naive,bylength,,3,3.293655
u32,null,bylength,,3,0.783195
u32,sse2,bylength,,3,1.050777
u32,tmueller,bylength,,3,1.354189
u32,unrolledlut,bylength,,3,1.327884
u32,yy,bylength,,3,0.991756
u32,amartin,bylength,,4,0.936320
u32,branchlut,bylength,,4,1.305632
u32,branchlut2,bylength,,4,1.232948
u32,countlut,bylength,,4,1.678392
u32,fmt,bylength,,4,1.677647
u32,jeaiii,bylength,,4,1.025008
u32,naive,bylength,,4,4.020927
u32,null,bylength,,4,0.990516
u32,sse2,bylength,,4,1.100051
u32,tmueller,bylength,,4,1.053720
u32,unrolledlut,bylength,,4,1.191566
u32,yy,bylength,,4,1.064316
u32,amartin,bylength,,5,1.357972
u32,branchlut,bylength,,5,2.093194
u32,branchlut2,bylength,,5,1.945992
u32,countlut,bylength,,5,1.865971
u32,fmt,bylength,,5,2.247809
u32,jeaiii,bylength,,5,1.179814
u32,naive,bylength,,5,4.672133
u32,null,bylength,,5,0.884237
u32,sse2,bylength,,5,2.076750
u32,tmueller,bylength,,5,1.026174
u32,unrolledlut,bylength,,5,1.463763
u32,yy,bylength,,5,1.369916
u32,amartin,bylength,,6,1.365874
u32,branchlut,bylength,,6,2.241628
u32,branchlut2,bylength,,6,2.031031
u32,countlut,bylength,,6,1.997607
u32,fmt,bylength,,6,2.226233
u32,jeaiii,bylength,,6,1.327330
u32,naive,bylength,,6,5.305624
u32,null,bylength,,6,1.072543
u32,sse2,bylength,,6,2.158501
u32,tmueller,bylength,,6,1.326824
u32,unrolledlut,bylength,,6,1.535281
u32,yy,bylength,,6,1.417460
u32,amartin,bylength,,7,1.944234
u32,branchlut,bylength,,7,2.327562
u32,branchlut2,bylength,,7,2.517807
u32,countlut,bylength,,7,2.264397
u32,fmt,bylength,,7,2.808292
u32,jeaiii,bylength,,7,1.313734
u32,naive,bylength,,7,5.939211
u32,null,bylength,,7,0.988260
u32,sse2,bylength,,7,2.289725
u32,tmueller,bylength,,7,1.307151
u32,unrolledlut,bylength,,7,1.694989
u32,yy,bylength,,7,1.733103
u32,amartin,bylength,,8,1.957047
u32,branchlut,bylength,,8,2.355816
u32,branchlut2,bylength,,8,2.632494
u32,countlut,bylength,,8,2.541876
u32,fmt,bylength,,8,2.798203
u32,jeaiii,bylength,,8,1.464289
u32,naive,bylength,,8,6.512804
u32,null,bylength,,8,0.928724
u32,sse2,bylength,,8,2.360154
u32,tmueller,bylength,,8,1.951324
u32,unrolledlut,bylength,,8,1.712215
u32,yy,bylength,,8,1.711442
u32,amartin,bylength,,9,2.240070
u32,branchlut,bylength,,9,3.793906
u32,branchlut2,bylength,,9,3.582372
u32,countlut,bylength,,9,2.786365
u32,fmt,bylength,,9,3.362842
u32,jeaiii,bylength,,9,1.691587
u32,naive,bylength,,9,6.877117
u32,null,bylength,,9,1.108856
u32,sse2,bylength,,9,1.704773
u32,tmueller,bylength,,9,1.977418
u32,unrolledlut,bylength,,9,2.192201
u32,yy,bylength,,9,2.065752
u32,amartin,bylength,,10,2.250523
u32,branchlut,bylength,,10,3.864717
u32,branchlut2,bylength,,10,3.646236
u32,countlut,bylength,,10,3.040817
u32,fmt,bylength,,10,3.310472
u32,jeaiii,bylength,,10,1.831851
u32,naive,bylength,,10,7.597260
u32,null,bylength,,10,0.787151
u32,sse2,bylength,,10,1.800168
u32,tmueller,bylength,,10,1.939199
u32,unrolledlut,bylength,,10,2.173836
u32,yy,bylength,,10,2.062780
u32,amartin,loguniform,1-10,10,5.809511
u32,branchlut,loguniform,1-10,10,8.325916
u32,branchlut2,loguniform,1-10,10,9.087042
u32,countlut,loguniform,1-10,10,8.476503
u32,fmt,loguniform,1-10,10,9.573607
u32,jeaiii,loguniform,1-10,10,8.570969
u32,naive,loguniform,1-10,10,10.490996
