Type,Function,Mode,Series,X,Time_ns
u32,amartin,bylength,,1,0.726908
u32,branchlut,bylength,,1,0.962163
u32,branchlut2,bylength,,1,0.933767
u32,count,bylength,,1,1.142545
u32,countlut,bylength,,1,0.977679
u32,fmt,bylength,,1,1.143530
u32,jeaiii,bylength,,1,0.813320
u32,lut,bylength,,1,1.905886
u32,mwilson,bylength,,1,1.289648
u32,naive,bylength,,1,2.249509
u32,null,bylength,,1,1.116270
u32,sprintf,bylength,,1,15.271514
u32,sse2,bylength,,1,0.901539
u32,tmueller,bylength,,1,0.942308
u32,unnamed,bylength,,1,1.020207
u32,unrolledlut,bylength,,1,0.970056
u32,yy,bylength,,1,0.986212
u32,zmij_scalar,bylength,,1,2.250771
u32,zmij_x64_native,bylength,,1,1.223607
u32,zmij_x64_v1,bylength,,1,1.889174
u32,zmij_x64_v2,bylength,,1,1.295964
u32,zmij_x64_v3,bylength,,1,1.215495
u32,zmij_x64_v4,bylength,,1,1.187930
u32,amartin,bylength,,2,0.798177
u32,branchlut,bylength,,2,1.220702
u32,branchlut2,bylength,,2,0.945538
u32,count,bylength,,2,1.592139
u32,countlut,bylength,,2,1.138083
u32,fmt,bylength,,2,0.953793
u32,jeaiii,bylength,,2,0.852944
u32,lut,bylength,,2,2.176119
u32,mwilson,bylength,,2,2.619676
u32,naive,bylength,,2,2.533888
u32,null,bylength,,2,0.763359
u32,sprintf,bylength,,2,15.557589
u32,sse2,bylength,,2,1.095136
u32,tmueller,bylength,,2,1.338663
u32,unnamed,bylength,,2,1.490038
u32,unrolledlut,bylength,,2,1.215170
u32,yy,bylength,,2,0.932457
u32,zmij_scalar,bylength,,2,2.254850
u32,zmij_x64_native,bylength,,2,1.204612
u32,zmij_x64_v1,bylength,,2,1.907348
u32,zmij_x64_v2,bylength,,2,1.290919
u32,zmij_x64_v3,bylength,,2,1.234661
u32,zmij_x64_v4,bylength,,2,1.227849
u32,amartin,bylength,,3,0.924202
u32,branchlut,bylength,,3,1.316621
u32,branchlut2,bylength,,3,1.012707
u32,count,bylength,,3,2.131280
u32,countlut,bylength,,3,1.474961
u32,fmt,bylength,,3,1.666570
u32,jeaiii,bylength,,3,1.005779
u32,lut,bylength,,3,2.643217
u32,mwilson,bylength,,3,3.500432
u32,naive,bylength,,3,3.282214
u32,null,bylength,,3,0.863292
u32,sprintf,bylength,,3,16.135846
u32,sse2,bylength,,3,1.087234
u32,tmueller,bylength,,3,1.350129
u32,unnamed,bylength,,3,1.926313
