Type,Function,Mode,Series,X,Time_ns
u32,amartin,bylength,,1,0.868778
u32,branchlut,bylength,,1,0.876566
u32,branchlut2,bylength,,1,0.651876
u32,countlut,bylength,,1,1.086454
u32,fmt,bylength,,1,0.868132
u32,jeaiii,bylength,,1,0.651777
u32,naive,bylength,,1,1.089086
u32,null,bylength,,1,0.651091
u32,tmueller,bylength,,1,0.868788
u32,unrolledlut,bylength,,1,0.868827
u32,yy,bylength,,1,0.651797
u32,zmij_neon,bylength,,1,0.929673
u32,zmij_scalar,bylength,,1,1.615087
u32,amartin,bylength,,2,0.868807
u32,branchlut,bylength,,2,0.874807
u32,branchlut2,bylength,,2,0.868817
u32,countlut,bylength,,2,0.874937
u32,fmt,bylength,,2,0.868807
u32,jeaiii,bylength,,2,0.868797
u32,naive,bylength,,2,1.531422
u32,null,bylength,,2,0.651121
u32,tmueller,bylength,,2,1.126756
u32,unrolledlut,bylength,,2,0.868807
u32,yy,bylength,,2,0.651121
u32,zmij_neon,bylength,,2,0.914603
u32,zmij_scalar,bylength,,2,1.688769
u32,amartin,bylength,,3,1.305997
u32,branchlut,bylength,,3,1.085152
u32,branchlut2,bylength,,3,1.304130
u32,countlut,bylength,,3,1.115600
u32,fmt,bylength,,3,1.085838
u32,jeaiii,bylength,,3,1.085848
u32,naive,bylength,,3,1.984914
u32,null,bylength,,3,0.651081
u32,tmueller,bylength,,3,1.119773
u32,unrolledlut,bylength,,3,1.085848
u32,yy,bylength,,3,1.085838
u32,zmij_neon,bylength,,3,0.919372
u32,zmij_scalar,bylength,,3,1.691858
u32,amartin,bylength,,4,1.302848
u32,branchlut,bylength,,4,1.302163
u32,branchlut2,bylength,,4,1.302848
u32,countlut,bylength,,4,1.274765
u32,fmt,bylength,,4,1.095364
u32,jeaiii,bylength,,4,1.085202
u32,naive,bylength,,4,2.474586
u32,null,bylength,,4,0.651797
u32,tmueller,bylength,,4,1.085182
u32,unrolledlut,bylength,,4,1.304080
u32,yy,bylength,,4,1.085550
u32,zmij_neon,bylength,,4,0.916441
u32,zmij_scalar,bylength,,4,1.706541
u32,amartin,bylength,,5,1.738469
u32,branchlut,bylength,,5,2.101868
u32,branchlut2,bylength,,5,1.312564
u32,countlut,bylength,,5,1.550376
u32,fmt,bylength,,5,1.392384
u32,jeaiii,bylength,,5,1.092742
u32,naive,bylength,,5,3.016303
u32,null,bylength,,5,0.651091
u32,tmueller,bylength,,5,1.089653
u32,unrolledlut,bylength,,5,1.519859
u32,yy,bylength,,5,1.305362
u32,zmij_neon,bylength,,5,0.915965
u32,zmij_scalar,bylength,,5,1.709878
u32,amartin,bylength,,6,1.736869
u32,branchlut,bylength,,6,1.819084
u32,branchlut2,bylength,,6,1.519869
u32,countlut,bylength,,6,1.655747
u32,fmt,bylength,,6,1.639803
u32,jeaiii,bylength,,6,1.302848
u32,naive,bylength,,6,3.445556
u32,null,bylength,,6,0.651091
u32,tmueller,bylength,,6,1.519849
u32,unrolledlut,bylength,,6,1.302858
u32,yy,bylength,,6,1.302838
u32,zmij_neon,bylength,,6,0.925571
u32,zmij_scalar,bylength,,6,1.630445
u32,amartin,bylength,,7,1.985312
u32,branchlut,bylength,,7,1.807332
u32,branchlut2,bylength,,7,1.759638
u32,countlut,bylength,,7,1.920174
u32,fmt,bylength,,7,1.759211
u32,jeaiii,bylength,,7,1.332829
u32,naive,bylength,,7,3.941755
u32,null,bylength,,7,0.651787
u32,tmueller,bylength,,7,1.522283
u32,unrolledlut,bylength,,7,1.302977
u32,yy,bylength,,7,1.734972
u32,zmij_neon,bylength,,7,0.921249
u32,zmij_scalar,bylength,,7,1.713187
u32,amartin,bylength,,8,1.969188
u32,branchlut,bylength,,8,1.796355
u32,branchlut2,bylength,,8,1.754781
u32,countlut,bylength,,8,2.074569
u32,fmt,bylength,,8,1.978825
u32,jeaiii,bylength,,8,1.530051
u32,naive,bylength,,8,4.452775
