Type,Function,Mode,Series,X,Time_ns
u32,amartin,bylength,,1,0.923434
u32,branchlut,bylength,,1,0.923435
u32,branchlut2,bylength,,1,0.692725
u32,count,bylength,,1,0.956059
u32,countlut,bylength,,1,1.154383
u32,fmt,bylength,,1,0.915289
u32,jeaiii,bylength,,1,0.688593
u32,lut,bylength,,1,1.385173
u32,mwilson,bylength,,1,1.151443
u32,naive,bylength,,1,1.153350
u32,null,bylength,,1,0.680407
u32,sprintf,bylength,,1,23.354848
u32,tmueller,bylength,,1,0.923434
u32,unnamed,bylength,,1,1.385212
u32,unrolledlut,bylength,,1,1.154423
u32,yy,bylength,,1,0.923475
u32,zmij_neon,bylength,,1,0.923435
u32,zmij_scalar,bylength,,1,1.646280
u32,amartin,bylength,,2,0.919342
u32,branchlut,bylength,,2,1.154344
u32,branchlut2,bylength,,2,0.923434
u32,count,bylength,,2,1.219630
u32,countlut,bylength,,2,1.154344
u32,fmt,bylength,,2,0.916481
u32,jeaiii,bylength,,2,0.915289
u32,lut,bylength,,2,1.397093
u32,mwilson,bylength,,2,1.167138
u32,naive,bylength,,2,1.621525
u32,null,bylength,,2,0.685970
u32,sprintf,bylength,,2,24.347425
u32,tmueller,bylength,,2,1.154462
u32,unnamed,bylength,,2,1.764258
u32,unrolledlut,bylength,,2,0.923435
u32,yy,bylength,,2,0.692686
u32,zmij_neon,bylength,,2,0.921409
u32,zmij_scalar,bylength,,2,1.623869
u32,amartin,bylength,,3,1.615962
u32,branchlut,bylength,,3,1.154264
u32,branchlut2,bylength,,3,1.154423
u32,count,bylength,,3,1.548529
u32,countlut,bylength,,3,1.158595
u32,fmt,bylength,,3,1.154304
u32,jeaiii,bylength,,3,1.154263
u32,lut,bylength,,3,1.888950
u32,mwilson,bylength,,3,1.427611
u32,naive,bylength,,3,2.081871
u32,null,bylength,,3,0.692566
u32,sprintf,bylength,,3,24.624864
u32,tmueller,bylength,,3,1.264970
u32,unnamed,bylength,,3,1.713118
u32,unrolledlut,bylength,,3,1.149933
u32,yy,bylength,,3,1.154304
u32,zmij_neon,bylength,,3,0.923435
u32,zmij_scalar,bylength,,3,1.696030
u32,amartin,bylength,,4,1.385053
u32,branchlut,bylength,,4,1.157084
u32,branchlut2,bylength,,4,1.615921
u32,count,bylength,,4,1.904449
u32,countlut,bylength,,4,1.385172
u32,fmt,bylength,,4,1.153747
u32,jeaiii,bylength,,4,1.380166
u32,lut,bylength,,4,2.322475
u32,mwilson,bylength,,4,2.195437
u32,naive,bylength,,4,2.584139
u32,null,bylength,,4,0.689824
u32,sprintf,bylength,,4,25.386016
u32,tmueller,bylength,,4,1.154224
u32,unnamed,bylength,,4,1.979312
u32,unrolledlut,bylength,,4,1.385093
u32,yy,bylength,,4,1.154224
u32,zmij_neon,bylength,,4,0.923474
u32,zmij_scalar,bylength,,4,1.694401
u32,amartin,bylength,,5,1.846790
u32,branchlut,bylength,,5,1.869401
u32,branchlut2,bylength,,5,1.385132
u32,count,bylength,,5,2.310792
u32,countlut,bylength,,5,1.619339
u32,fmt,bylength,,5,1.457611
u32,jeaiii,bylength,,5,1.385093
u32,lut,bylength,,5,2.805194
u32,mwilson,bylength,,5,2.502402
u32,naive,bylength,,5,3.071745
u32,null,bylength,,5,0.691731
u32,sprintf,bylength,,5,25.980195
u32,tmueller,bylength,,5,1.154263
u32,unnamed,bylength,,5,2.337813
u32,unrolledlut,bylength,,5,1.625736
u32,yy,bylength,,5,1.380642
u32,zmij_neon,bylength,,5,0.923355
u32,zmij_scalar,bylength,,5,1.694520
u32,amartin,bylength,,6,1.846790
u32,branchlut,bylength,,6,1.875162
u32,branchlut2,bylength,,6,1.615882
u32,count,bylength,,6,2.538522
u32,countlut,bylength,,6,1.851439
u32,fmt,bylength,,6,1.458685
u32,jeaiii,bylength,,6,1.615882
u32,lut,bylength,,6,3.241658
u32,mwilson,bylength,,6,3.280878
u32,naive,bylength,,6,3.553271
u32,null,bylength,,6,0.683625
u32,sprintf,bylength,,6,27.540366
u32,tmueller,bylength,,6,1.385610
u32,unnamed,bylength,,6,2.578774
u32,unrolledlut,bylength,,6,1.385132
u32,yy,bylength,,6,1.157204
u32,zmij_neon,bylength,,6,0.923395
u32,zmij_scalar,bylength,,6,1.628676
u32,amartin,bylength,,7,2.308448
u32,branchlut,bylength,,7,1.874804
u32,branchlut2,bylength,,7,1.706362
u32,count,bylength,,7,3.193179
u32,countlut,bylength,,7,2.037604
u32,fmt,bylength,,7,1.957098
u32,jeaiii,bylength,,7,1.615921
u32,lut,bylength,,7,3.736933
u32,mwilson,bylength,,7,3.521800
u32,naive,bylength,,7,4.027327
u32,null,bylength,,7,0.692566
u32,sprintf,bylength,,7,27.803023
u32,tmueller,bylength,,7,1.394311
u32,unnamed,bylength,,7,2.843618
u32,unrolledlut,bylength,,7,1.385331
u32,yy,bylength,,7,1.617193
u32,zmij_neon,bylength,,7,0.923395
u32,zmij_scalar,bylength,,7,1.625976
u32,amartin,bylength,,8,2.303958
u32,branchlut,bylength,,8,1.866302
u32,branchlut2,bylength,,8,1.757185
u32,count,bylength,,8,3.687183
u32,countlut,bylength,,8,2.539714
u32,fmt,bylength,,8,2.080520
u32,jeaiii,bylength,,8,1.846790
u32,lut,bylength,,8,4.168510
u32,mwilson,bylength,,8,4.246235
u32,naive,bylength,,8,4.520972
u32,null,bylength,,8,0.692527
u32,sprintf,bylength,,8,26.622415
u32,tmueller,bylength,,8,2.539436
u32,unnamed,bylength,,8,3.070196
u32,unrolledlut,bylength,,8,1.385251
u32,yy,bylength,,8,1.618147
u32,zmij_neon,bylength,,8,0.923395
u32,zmij_scalar,bylength,,8,1.620571
u32,amartin,bylength,,9,1.849811
u32,branchlut,bylength,,9,1.860222
u32,branchlut2,bylength,,9,1.762112
u32,count,bylength,,9,3.957272
u32,countlut,bylength,,9,2.552906
u32,fmt,bylength,,9,2.467871
u32,jeaiii,bylength,,9,1.846750
u32,lut,bylength,,9,4.696091
u32,mwilson,bylength,,9,4.645626
u32,naive,bylength,,9,5.026221
u32,null,bylength,,9,0.692527
u32,sprintf,bylength,,9,27.403077
u32,tmueller,bylength,,9,2.539356
u32,unnamed,bylength,,9,3.310084
u32,unrolledlut,bylength,,9,1.615922
